"","bet","odds","datetime","url","bet.subject","time.of.day","numerator.bet","denominator.bet","probability","date","country"
"91","55 01  60 0 Percent","7/2","2016-04-18T21:53:10Z","https://web.archive.org/web/20160418215310/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,7,2,0.222222222222222,2016-04-18,"United Kingdom"
"92","45 01  50 0 Percent","3/1","2016-04-18T21:53:10Z","https://web.archive.org/web/20160418215310/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,3,1,0.25,2016-04-18,"United Kingdom"
"93","40 01  45 0 Percent","10/1","2016-04-18T21:53:10Z","https://web.archive.org/web/20160418215310/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,10,1,0.0909090909090909,2016-04-18,"United Kingdom"
"94","60 01  65 0 Percent","11/2","2016-04-18T21:53:10Z","https://web.archive.org/web/20160418215310/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,11,2,0.153846153846154,2016-04-18,"United Kingdom"
"95","40 Percent or Under","20/1","2016-04-18T21:53:10Z","https://web.archive.org/web/20160418215310/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,20,1,0.0476190476190476,2016-04-18,"United Kingdom"
"96","65 01  70 0 Percent","18/1","2016-04-18T21:53:10Z","https://web.archive.org/web/20160418215310/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,18,1,0.0526315789473684,2016-04-18,"United Kingdom"
"97","Remain","4/9","2016-04-21T16:22:07Z","https://web.archive.org/web/20160421162207/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,9,0.692307692307692,2016-04-21,"United Kingdom"
"98","Leave","2/1","2016-04-21T16:22:07Z","https://web.archive.org/web/20160421162207/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-04-21,"United Kingdom"
"99","Remain","4/9","2016-04-22T21:38:40Z","https://web.archive.org/web/20160422213840/https://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,9,0.692307692307692,2016-04-22,"United Kingdom"
"100","Leave","2/1","2016-04-22T21:38:40Z","https://web.archive.org/web/20160422213840/https://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-04-22,"United Kingdom"
